PART_SK,P_PARTKEY,P_NAME,P_MFGR,P_BRAND,P_TYPE,P_SIZE,P_CONTAINER,P_RETAILPRICE,START_DATE,END_DATE,IS_CURRENT,RECORD_SOURCE
1,1,goldenrod lavender spring chocolate lace,Manufacturer#1,Brand#13,PROMO BURNISHED COPPER,7,JUMBO PKG,901.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
2,2,blush thistle blue yellow saddle,Manufacturer#1,Brand#13,LARGE BRUSHED BRASS,1,LG CASE,902.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
3,3,spring green yellow purple cornsilk,Manufacturer#4,Brand#42,STANDARD POLISHED BRASS,21,WRAP CASE,903.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
4,4,cornflower chocolate smoke green pink,Manufacturer#3,Brand#34,SMALL PLATED BRASS,14,MED DRUM,904.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
5,5,forest brown coral puff cream,Manufacturer#3,Brand#32,STANDARD POLISHED TIN,15,SM PKG,905.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
6,6,bisque cornflower lawn forest magenta,Manufacturer#2,Brand#24,PROMO PLATED STEEL,4,MED BAG,906.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
7,7,moccasin green thistle khaki floral,Manufacturer#1,Brand#11,SMALL PLATED COPPER,45,SM BAG,907.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
8,8,misty lace thistle snow royal,Manufacturer#4,Brand#44,PROMO BURNISHED TIN,41,LG DRUM,908.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
9,9,thistle dim navajo dark gainsboro,Manufacturer#4,Brand#43,SMALL BURNISHED STEEL,12,WRAP CASE,909.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
10,10,linen pink saddle puff powder,Manufacturer#5,Brand#54,LARGE BURNISHED STEEL,44,LG CAN,910.00,2025-11-27 20:56:41.377,9999-12-31 23:59:59.000,true,INITIAL_LOAD
